name,pitch,color
n0,349.06,#009944
n1,262.12,#009944
n2,262.06,#009944
n3,233.05,#009944
n4,262.01,#A77BC0
n5,233.06,#A77BC0
n6,311.06,#7c97ab
n7,208.12,#009944
n8,233.1,#A77BC0
n9,208.02,#A77BC0
n10,208.06,#A77BC0
n11,262.02,#009944
n12,233.04,#009944
n13,262.04,#A77BC0
n14,233.02,#A77BC0
n15,262.1,#A77BC0
n16,311.12,#ED7225
n17,466.12,#A77BC0
n18,415.1,#7c97ab
n19,349.02,#A77BC0
n20,415.06,#ED7225
n21,415.04,#ED7225
n22,466.06,#f42434
n23,349.1,#009944
n24,311.02,#009944
n25,466.04,#009944
n26,415.02,#009944
n27,311.04,#0081c2
n28,262.3,#A77BC0
n29,349.04,#009944
n30,415.12,#ED7225
n31,262.18,#A77BC0
n32,349.12,#A77BC0
